Protein Accession;Protein Name;Gene ID;Protein Description;MPT896_2690;MPT897_2691;MPT898_2692;MPT899_2693;MPT900_2694;MPT901_2695;MPT902_2696;MPT903_2697;MPT904_2698;MPT905_2699;MPT906_2700;MPT907_2701;MPT908_2702;MPT909_2703;MPT910_2704;MPT911_2705;MPT912_2706;MPT913_2707;MPT914_2708;MPT915_2709
Q9H869;YYAP1_HUMAN;YY1AP1;YY1-associated protein 1;;20.6544;;;;23.7317;33.0697;;;;43.3947;69.8283;;;;53.613;86.9984;46.8066;;
Q9H871;RMD5A_HUMAN;RMND5A;E3 ubiquitin-protein transferase RMND5A;;;82.0594;;;;;77.7673;;;74.6653;118.4383;44.2533;;;78.8678;59.527;82.8842;;
Q9H8M5;CNNM2_HUMAN;CNNM2;Metal transporter CNNM2;;65.6385;;80.4086;;;55.5569;53.5088;;;54.4916;71.8504;63.1186;;;104.6413;69.0457;91.6168;;
Q9H8V3;ECT2_HUMAN;ECT2;Protein ECT2;;59.4356;43.4398;;;;;;;;57.0578;51.9131;;;;105.0954;62.8122;42.1244;;48.2167
Q9H8W4;PKHF2_HUMAN;PLEKHF2;Pleckstrin homology domain-containing family F member 2;;;;;;;;;;;77.9558;83.8856;52.6066;40.5103;;107.6883;73.141;67.6195;;32.2278
Q9H8X2;IPPK_HUMAN;IPPK;Inositol-pentakisphosphate 2-kinase;;75.7928;100.528;;;;;85.0212;;;42.4108;69.6878;31.6085;51.5733;;74.7615;66.7746;61.472;;71.5332
Q9H8Y5;ANKZ1_HUMAN;ANKZF1;tRNA endonuclease ANKZF1;62.8861;79.2408;55.4282;;78.6146;;58.1251;60.8632;;;30.2752;68.3635;33.3501;;53.7983;63.182;54.6955;46.1782;;80.4823
Q9H944;MED20_HUMAN;MED20;Mediator of RNA polymerase II transcription subunit 20;;110.0112;125.0388;122.4553;115.665;;87.0007;104.4545;;109.9501;148.3971;106.6853;92.5555;113.2158;135.4589;221.8794;136.7022;88.6178;150.2813;158.269
Q9H974;QTRT2_HUMAN;QTRT2;Queuine tRNA-ribosyltransferase accessory subunit 2;;69.458;54.3624;;;;49.871;47.9497;;44.8492;86.9722;70.3563;54.8727;;;131;83.3276;54.6842;;36.5814
Q9H9A5;CNO10_HUMAN;CNOT10;CCR4-NOT transcription complex subunit 10;;20.8468;6.4963;24.3862;;;12.0441;5.7001;;;24.3137;18.2015;21.5561;;;33.552;31.658;23.7849;;32.1565
Q9H9A6;LRC40_HUMAN;LRRC40;Leucine-rich repeat-containing protein 40;;42.7588;;;;;;;;;74.36;60.596;51.495;;;162.2971;76.4589;48.3441;;63.0321
Q9H9H4;VP37B_HUMAN;VPS37B;Vacuolar protein sorting-associated protein 37B;;25.3369;21.7128;15.4046;;;20.1714;;;18.5865;49.1884;47.9278;44.4278;23.7457;38.8253;81.2104;43.175;45.3948;18.5333;33.579
Q9H9J2;RM44_HUMAN;MRPL44;Large ribosomal subunit protein mL44;;82.0443;77.3859;54.1398;67.1142;;76.2494;100.4394;;;71.5275;101.0605;60.6637;;;150.0702;79.4071;73.6109;65.556;
Q9H9Q2;CSN7B_HUMAN;COPS7B;COP9 signalosome complex subunit 7b;;73.7365;;;;;;;;;217.6089;82.3588;;;;225.7625;88.9918;47.0297;;
Q9H9Y4;GPN2_HUMAN;GPN2;GPN-loop GTPase 2;;;13.3204;;;;8.9247;11.0517;;27.8999;;24.1119;18.745;27.2804;;33.6555;24.2483;15.4378;42.8024;65.5011
Q9HA77;SYCM_HUMAN;CARS2;Probable cysteine--tRNA ligase, mitochondrial;;176.8109;205.9507;;;;176.8608;202.1571;;;384.9786;507.2826;253.7338;213.7776;371.0058;380.587;330.4241;290.757;;175.3459
Q9HAC7;SUCHY_HUMAN;SUGCT;Succinate--hydroxymethylglutarate CoA-transferase;;;;;;;;;;;2.5245;5.1727;3.0235;;;;3.2945;;;
Q9HAU4;SMUF2_HUMAN;SMURF2;E3 ubiquitin-protein ligase SMURF2;;70.8887;70.9399;;;;;88.1918;;;125.4248;133.4055;71.4004;;390.3538;148.1994;142.8392;70.3276;;
Q9HAV4;XPO5_HUMAN;XPO5;Exportin-5;66.8723;49.1225;33.8097;46.4232;40.4524;;47.1637;40.7054;;53.7493;56.9754;60.9369;58.2034;;77.9813;116.4717;63.3975;63.5311;61.9448;47.254
Q9HB07;MYG1_HUMAN;MYG1;MYG1 exonuclease;81.8064;91.1837;111.9536;59.5725;;;61.2821;126.8717;;;54.0065;88.2348;;;;68.4576;74.5699;42.3015;;
Q9HB21;PKHA1_HUMAN;PLEKHA1;Pleckstrin homology domain-containing family A member 1;275.7568;170.7039;88.0064;;;585.3838;127.5741;;;;280.9511;118.9731;;;;476.1245;151.4187;;;
Q9HBM6;TAF9B_HUMAN;TAF9B;Transcription initiation factor TFIID subunit 9B;154.0171;49.1594;69.2378;87.4513;109.9148;;74.3856;55.8215;;218.5907;95.7759;113.4541;52.4783;204.9855;330.2667;130.1072;104.9548;78.9518;265.9484;470.6753
Q9HC07;TM165_HUMAN;TMEM165;Putative divalent cation/proton antiporter TMEM165;;8.5025;;;;;;9.6736;;;28.4419;17.6431;22.823;;;33.6082;22.4054;25.4496;;19.0412
Q9HC35;EMAL4_HUMAN;EML4;Echinoderm microtubule-associated protein-like 4;;30.2297;27.8001;65.4237;49.2902;;29.3671;33.8518;;39.4176;34.2743;30.4073;27.0711;;;74.7175;32.4446;22.758;;25.9577
Q9HC36;MRM3_HUMAN;MRM3;rRNA methyltransferase 3, mitochondrial;33.1058;119.3606;225.8317;50.9352;44.35;;113.0674;282.1421;;64.0916;105.8943;119.9461;74.1961;;60.4235;126.7459;90.9751;59.7881;;
Q9HC52;CBX8_HUMAN;CBX8;Chromobox protein homolog 8;33.0754;72.4735;52.1731;69.4362;400.9729;35.1425;56.8754;;;;74.3817;60.6598;45.1517;;49.7432;94.9235;58.7251;42.8439;;45.2641
Q9HCB6;SPON1_HUMAN;SPON1;Spondin-1;;139.4604;104.4292;;;;109.6733;108.9331;;;91.0399;114.8341;;;98.3033;174.1884;113.6707;59.5598;76.8971;
Q9HCE6;ARGAL_HUMAN;ARHGEF10L;Rho guanine nucleotide exchange factor 10-like protein;;50.0829;62.2617;40.2391;111.9521;146.814;;;;;71.1;67.7004;61.0575;134.125;93.3737;76.698;56.9354;67.1061;140.0333;132.1865
Q9HCG8;CWC22_HUMAN;CWC22;Pre-mRNA-splicing factor CWC22 homolog;;;23.1707;43.8593;;;;40.6035;;;47.5475;34.0098;45.8668;48.5371;;58.3441;38.3045;34.5373;47.4186;
Q9HCK8;CHD8_HUMAN;CHD8;Chromodomain-helicase-DNA-binding protein 8;;;98.5327;;185.5377;;;95.1385;;224.8041;74.9015;60.8017;41.064;;105.2975;;54.069;56.3999;112.7655;167.6146
Q9HCL2;GPAT1_HUMAN;GPAM;Glycerol-3-phosphate acyltransferase 1, mitochondrial;;14.0526;17.4606;15.6826;;;7.4351;;;;29.7145;24.3485;22.8371;;26.4635;41.9928;21.7804;31.6601;22.2898;
Q9HCN4;GPN1_HUMAN;GPN1;GPN-loop GTPase 1;;18.6723;28.8106;37.6128;;;24.8408;26.8869;;;39.9261;36.6464;22.853;37.2604;;26.6451;42.2253;27.5138;;
Q9HCU4;CELR2_HUMAN;CELSR2;Cadherin EGF LAG seven-pass G-type receptor 2;70.2375;59.7218;31.6074;51.6305;;64.0265;48.5295;41.4077;;113.9318;32.7979;36.4317;32.4296;;;35.6201;33.1032;36.8307;;34.2686
Q9HCU9;BRMS1_HUMAN;BRMS1;Breast cancer metastasis-suppressor 1;;33.5538;46.3804;28.6779;;;;44.1885;;;59.1328;;47.5784;;;37.2422;20.3122;38.7904;;
Q9HD33;RM47_HUMAN;MRPL47;Large ribosomal subunit protein uL29m;;63.0132;40.8703;71.6256;;;50.0655;97.7158;;;43.8684;65.085;60.7439;60.7656;;68.1079;57.638;59.7189;70.4049;39.3409
Q9HD45;TM9S3_HUMAN;TM9SF3;Transmembrane 9 superfamily member 3;;20.624;;33.0497;;;11.2804;;;;17.9049;11.553;19.7315;;;20.4358;18.8768;25.92;;
Q9NNW5;WDR6_HUMAN;WDR6;tRNA (34-2'-O)-methyltransferase regulator WDR6;;114.4048;95.6817;44.5079;218.2311;;75.2649;69.9204;;101.3245;139.6626;154.2405;98.7799;89.0898;166.7494;179.5938;157.803;128.811;121.6311;109.2666
Q9NNW7;TRXR2_HUMAN;TXNRD2;Thioredoxin reductase 2, mitochondrial;;;28.9029;;;;55.8096;31.2506;;;100.2686;71.3551;58.6667;;55.4835;141.8319;51.3244;48.8556;33.8983;56.7075
Q9NP77;SSU72_HUMAN;SSU72;RNA polymerase II subunit A C-terminal domain phosphatase SSU72;;;84.6867;66.0812;;;177.4352;58.2251;;;2239.0879;136.772;77.7824;;;;191.2617;50.9876;;
Q9NP79;VTA1_HUMAN;VTA1;Vacuolar protein sorting-associated protein VTA1 homolog;135.9747;97.1634;87.3649;70.1544;;144.1844;107.5094;90.7193;;81.1503;178.0487;148.7231;108.388;133.1493;169.3729;261.7365;169.2736;131.9305;113.3151;121.5405
Q9NP87;DPOLM_HUMAN;POLM;DNA-directed DNA/RNA polymerase mu;;69.5159;75.1477;28.7595;;;49.7317;72.0185;;;68.9295;96.8855;51.135;41.9448;37.3562;101.4262;95.6015;57.5781;46.6091;43.7798
Q9NP92;RT30_HUMAN;MRPS30;Large ribosomal subunit protein mL65;;90.6591;83.1937;65.1997;;;105.7017;99.0154;;77.6748;153.6023;197.128;109.8876;71.9509;105.1981;243.2727;148.9901;126.545;;76.0535
Q9NPA3;M1IP1_HUMAN;MID1IP1;Mid1-interacting protein 1;;50.7101;28.3124;43.8217;;;28.6489;;;;34.2997;61.1994;47.4165;;;49.1398;45.9217;43.1591;;30.3466
Q9NPF2;CHSTB_HUMAN;CHST11;Carbohydrate sulfotransferase 11;;;16.074;;;;;;;;151.8992;135.7934;71.253;75.8071;146.9091;181.5956;120.3443;98.1862;136.3723;
Q9NPF4;OSGEP_HUMAN;OSGEP;tRNA N6-adenosine threonylcarbamoyltransferase;;26.1864;;;;;20.5729;23.2833;;;42.2856;31.9597;;;;33.9259;19.3437;21.5796;;
Q9NPG3;UBN1_HUMAN;UBN1;Ubinuclein-1;117.7987;84.0072;64.4667;80.1463;97.8663;216.473;90.7175;78.7853;;;87.9538;94.9015;60.0731;120.6488;121.4471;151.5804;103.8122;49.2959;86.0447;128.2326
Q9NPH0;PPA6_HUMAN;ACP6;Lysophosphatidic acid phosphatase type 6;;45.0552;27.2199;78.2952;;;;43.6101;;;164.6555;170.5315;144.4978;109.9789;150.8266;212.2493;193.601;135.9173;143.4715;126.9251
Q9NPH3;IL1AP_HUMAN;IL1RAP;Interleukin-1 receptor accessory protein;48.5847;30.8281;35.9811;12.2313;;;23.0654;20.5908;;;69.3242;65.7363;80.4671;52.1816;70.6812;78.8634;88.5553;109.6173;59.0818;75.4925
Q9NPI1;BRD7_HUMAN;BRD7;Bromodomain-containing protein 7;88.6248;84.2277;68.2869;70.4205;170.6027;77.1269;69.711;83.0879;;;90.8724;75.9598;62.2448;;99.2166;123.3164;67.9647;67.5841;64.0641;
Q9NPL8;TIDC1_HUMAN;TIMMDC1;Complex I assembly factor TIMMDC1, mitochondrial;;;;;;;;31.563;;;41.9627;41.5917;35.7182;;;57.8707;36.6335;29.5746;;115.1277
Q9NPQ8;RIC8A_HUMAN;RIC8A;Synembryn-A;133.5105;82.573;62.0102;;;;66.0233;78.713;;101.8187;67.5404;71.3359;55.0348;;112.5848;68.9114;70.4923;53.4419;;
Q9NQC1;JADE2_HUMAN;JADE2;E3 ubiquitin-protein ligase Jade-2;;28.84;24.0065;;47.6619;;13.5867;21.524;;;18.3387;15.603;15.7531;;35.6467;22.1255;21.0513;20.0648;;33.1479
Q9NQG5;RPR1B_HUMAN;RPRD1B;Regulation of nuclear pre-mRNA domain-containing protein 1B;;41.7549;54.776;;;;44.1734;46.5669;;;148.206;143.0657;77.7687;36.7162;80.281;154.3944;110.9572;98.6018;65.439;64.1161
Q9NQH7;XPP3_HUMAN;XPNPEP3;Xaa-Pro aminopeptidase 3;114.3442;247.7708;285.8235;115.1795;105.833;;225.955;273.469;;163.0121;184.4631;257.061;139.7738;108.0497;181.2055;276.8304;171.2141;151.6766;102.1811;136.892
Q9NQS1;AVEN_HUMAN;AVEN;Cell death regulator Aven;16.9258;33.9079;19.629;15.8185;;;14.9663;15.6105;;;27.918;17.4263;9.5412;;;23.815;26.8023;18.7816;;
Q9NQS3;NECT3_HUMAN;NECTIN3;Nectin-3;;88.2238;49.4747;;;;64.1475;54.8055;;;52.419;;62.6597;;;77.5233;50.2862;49.3078;;61.0234
Q9NQW6;ANLN_HUMAN;ANLN;Anillin;;90.1861;63.524;;;;87.9213;59.1252;;;84.9743;71.619;;;;161.0251;107.1914;75.2275;129.4159;89.5343
Q9NQX7;ITM2C_HUMAN;ITM2C;Integral membrane protein 2C;;29.1994;;;;;30.0863;;;36.0544;72.0072;78.9418;68.7512;;99.7984;96.4658;67.2558;95.4262;69.9249;77.2124
Q9NQY0;BIN3_HUMAN;BIN3;Bridging integrator 3;;22.9599;28.4727;27.3863;;;;;;;39.7392;54.8012;;;;112.1059;43.1739;30.6103;;
Q9NQZ5;STAR7_HUMAN;STARD7;StAR-related lipid transfer protein 7, mitochondrial;;85.4588;;;;;;;;;379.9225;131.6819;56.9938;;;895.4194;148.6278;68.5385;;
Q9NR12;PDLI7_HUMAN;PDLIM7;PDZ and LIM domain protein 7;;67.064;40.5571;;43.0251;;54.8384;76.8145;;;142.6168;123.2281;90.3122;;;230.869;130.5389;58.3905;;
Q9NR19;ACSA_HUMAN;ACSS2;Acetyl-coenzyme A synthetase, cytoplasmic;;;;;;;;;;;7.2905;7.3283;;;;5.6532;5.1811;;;
Q9NR28;DBLOH_HUMAN;DIABLO;Diablo IAP-binding mitochondrial protein;;40.0616;45.473;;;;54.7055;60.1608;;;87.4015;74.4348;50.239;;;93.5636;75.9682;47.4367;;
"Q9NR31;Q9Y6B6";"SAR1A_HUMAN;SAR1B_HUMAN";"SAR1A;SAR1B";"Small COPII coat GTPase SAR1A;Small COPII coat GTPase SAR1B";240.8552;96.2081;96.17;91.3167;129.4978;143.5494;88.6748;73.1073;;151.9342;157.1488;112.4087;95.8506;93.1698;98.0468;120.6418;91.8651;92.3359;108.284;
Q9NR45;SIAS_HUMAN;NANS;Sialic acid synthase;;21.9183;36.2409;24.1641;42.6219;;41.1079;42.0033;;;75.0411;54.5811;33.3054;26.0817;;74.547;37.0789;24.1997;;
Q9NR46;SHLB2_HUMAN;SH3GLB2;Endophilin-B2;;74.1208;70.2431;87.3947;142.5368;;;64.7565;;98.9515;170.5227;142.3929;121.2851;99.9729;131.6685;323.6478;142.9951;115.6019;113.8059;158.4852
Q9NR56;MBNL1_HUMAN;MBNL1;Muscleblind-like protein 1;;9.7685;7.0745;;;;;2.8744;;;;10.6817;;;;11.5762;7.7979;6.1031;;10.8071
Q9NRA1;PDGFC_HUMAN;PDGFC;Platelet-derived growth factor C;;41.3378;35.944;18.6534;;;43.5705;51.9431;;;525.5778;425.3273;186.4854;215.6763;401.136;326.2893;379.2896;218.6267;256.1149;269.8501
Q9NRA8;4ET_HUMAN;EIF4ENIF1;Eukaryotic translation initiation factor 4E transporter;;;34.9478;;;;40.9085;;;;;58.9409;99.8685;;;;90.5463;74.6233;;55.2057
Q9NRG9;AAAS_HUMAN;AAAS;Aladin;;58.0909;44.6916;45.2014;;;38.8899;23.4823;;;53.7953;46.0782;54.9937;;;67.7801;51.8674;55.0834;;63.0959
Q9NRJ7;PCDBG_HUMAN;PCDHB16;Protocadherin beta-16;;;;;;;;18.8538;;;23.265;25.0158;18.2421;;;36.9443;20.4232;23.3302;;
Q9NRP2;COXM2_HUMAN;CMC2;COX assembly mitochondrial protein 2 homolog;;146.7976;305.5565;;;;157.6465;236.1401;;;333.2147;318.4259;163.7283;107.7193;122.9157;363.4214;280.5262;157.3018;;56.3802
Q9NRR5;UBQL4_HUMAN;UBQLN4;Ubiquilin-4;;25.1743;30.6083;34.3658;;;36.8789;31.7635;;;69.0034;46.5504;67.514;54.3705;77.3555;97.0684;89.615;62.4981;84.8824;71.7499
Q9NRV9;HEBP1_HUMAN;HEBP1;Heme-binding protein 1;39.1895;;37.2706;17.6892;;;18.4233;51.2374;;;62.6385;21.5122;40.2106;;;76.1713;37.0011;26.7465;;
Q9NRW3;ABC3C_HUMAN;APOBEC3C;DNA dC->dU-editing enzyme APOBEC-3C;;70.7285;72.8648;;;;53.4381;121.8976;;;54.2144;82.1064;42.5255;;;51.851;42.9109;39.5073;;
Q9NRW7;VPS45_HUMAN;VPS45;Vacuolar protein sorting-associated protein 45;;62.8185;;;;;94.9096;63.4206;;;259.8576;78.9928;202.7537;66.9936;239.4542;138.375;137.5688;113.1346;;60.8284
Q9NRX1;PNO1_HUMAN;PNO1;RNA-binding protein PNO1;;36.7191;39.1932;;;;;49.2061;;;47.5999;39.9857;49.0212;;;66.6809;38.2437;64.2721;;43.8734
Q9NRY2;SOSSC_HUMAN;INIP;SOSS complex subunit C;;11.9437;;;;;;;;;23.1327;10.8355;17.2962;;;32.2481;19.2479;8.3767;;
Q9NRY5;F1142_HUMAN;FAM114A2;Protein FAM114A2;;14.9255;;;;;;;;;23.5644;12.2874;7.0124;;;36.416;16.8686;13.5177;;
Q9NTG7;SIR3_HUMAN;SIRT3;NAD-dependent protein deacetylase sirtuin-3, mitochondrial;;50.7022;39.7227;;;;39.3542;42.3683;;;26.0056;39.2388;;;;24.2745;36.2946;;;
Q9NTI5;PDS5B_HUMAN;PDS5B;Sister chromatid cohesion protein PDS5 homolog B;41.5063;49.4115;25.2246;35.2376;;;39.3606;26.4409;;33.0701;83.3765;84.5997;80.7706;;68.558;136.8336;72.6093;110.845;49.6423;53.5598
Q9NTJ5;SAC1_HUMAN;SACM1L;Phosphatidylinositol-3-phosphatase SAC1;;51.9026;39.0812;66.7584;;;52.6438;43.5823;;;62.9044;57.6116;53.8662;;;42.6879;54.8168;60.6496;;
Q9NTZ6;RBM12_HUMAN;RBM12;RNA-binding protein 12;;158.1847;163.97;124.0276;;;214.2684;152.8301;;;167.3477;201.8933;170.7379;244.5362;285.0699;290.8857;169.1414;148.5684;;213.0702
Q9NU23;LYRM2_HUMAN;LYRM2;LYR motif-containing protein 2;;47.8617;55.216;;;;33.8132;52.9819;;;96.7263;92.8619;68.6175;;77.1364;70.7296;89.4735;70.7965;;
Q9NUB1;ACS2L_HUMAN;ACSS1;Acetyl-coenzyme A synthetase 2-like, mitochondrial;;64.06;76.0157;45.4168;;;59.2929;63.2888;;52.3708;53.3027;33.8563;;;;33.1783;21.1073;23.7545;;
Q9NUQ2;PLCE_HUMAN;AGPAT5;1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon;;84.8952;51.3288;103.7267;;;83.8887;;;;84.4537;79.0732;59.446;;;115.8718;75.1842;73.5788;;86.4068
Q9NUQ8;ABCF3_HUMAN;ABCF3;ATP-binding cassette sub-family F member 3;;20.9287;;;;;;;;;24.6871;40.5283;25.1336;;;53.3851;30.1554;16.1282;;
Q9NUU7;DD19A_HUMAN;DDX19A;ATP-dependent RNA helicase DDX19A;;;8.6762;;;;;14.6736;;;10.4442;8.4279;7.7572;;;8.2104;6.5337;8.6412;;
Q9NV56;MRGBP_HUMAN;MRGBP;MRG/MORF4L-binding protein;;36.1928;28.348;26.6326;;;27.8419;28.9452;;;17.0631;28.1235;19.3879;;;30.8658;24.7078;25.763;17.8989;
Q9NV79;PCMD2_HUMAN;PCMTD2;Protein-L-isoaspartate O-methyltransferase domain-containing protein 2;;35.1255;36.5073;41.6426;;;50.7161;36.7934;;107.7097;45.548;45.6781;12.4904;;;58.26;37.1459;37.3275;;
Q9NV96;CC50A_HUMAN;TMEM30A;Cell cycle control protein 50A;;80.0922;;76.978;;;62.6835;;;;107.3749;77.385;211.8635;;130.0455;164.0949;95.2123;165.5916;;98.877
Q9NVA1;UQCC1_HUMAN;UQCC1;Ubiquinol-cytochrome c reductase complex assembly factor 1;;38.1805;108.6433;;;;50.3702;145.2302;;;79.9334;67.1963;34.167;;56.6022;52.4773;67.1819;49.4484;;
Q9NVA2;SEP11_HUMAN;SEPTIN11;Septin-11;111.8959;90.7577;93.5111;90.0429;132.9191;;109.5323;91.7307;;136.3316;94.1662;81.0798;81.2125;94.1927;132.1758;117.9574;88.3893;78.2615;107.8851;101.8171
Q9NVC6;MED17_HUMAN;MED17;Mediator of RNA polymerase II transcription subunit 17;;;44.5573;;;;;41.3474;;;70.995;50.4361;38.0964;;;57.6772;38.5059;31.7964;;
Q9NVF7;FBX28_HUMAN;FBXO28;F-box only protein 28;78.4858;;19.4335;;;;34.9982;40.9062;;;62.0649;58.8415;34.8757;;;60.5929;57.7194;18.1855;;
Q9NVH1;DJC11_HUMAN;DNAJC11;DnaJ homolog subfamily C member 11;;;13.4405;;;;15.9698;;;;34.1453;43.9986;;;;;39.1142;25.5635;;37.3152
Q9NVH6;TMLH_HUMAN;TMLHE;Trimethyllysine dioxygenase, mitochondrial;18.4962;69.6956;44.567;28.2689;;;36.1041;54.5077;;;154.3511;183.3945;45.0854;;;265.1005;157.7844;38.2231;37.4833;78.8849
Q9NVI1;FANCI_HUMAN;FANCI;Fanconi anemia group I protein;;84.2799;96.6242;73.9275;;;58.2726;52.4786;;;97.1243;55.7213;71.2369;;;120.5689;49.6343;91.4049;87.8931;66.4429
Q9NVM6;DJC17_HUMAN;DNAJC17;DnaJ homolog subfamily C member 17;;15.1863;;;;;;;;;14.1719;18.5952;9.9452;;;12.5153;23.0238;;;
Q9NVR2;INT10_HUMAN;INTS10;Integrator complex subunit 10;;42.9274;42.6676;54.9072;;;32.8112;56.7129;;27.3589;37.0678;;32.2327;;;;30.0686;62.6347;;
Q9NVT9;ARMC1_HUMAN;ARMC1;Armadillo repeat-containing protein 1;;27.1658;29.3415;;;;;30.6333;;;53.8518;58.6235;39.4664;;;91.1332;50.8365;32.8999;;37.8615
Q9NW13;RBM28_HUMAN;RBM28;RNA-binding protein 28;;34.8062;32.4645;35.6122;38.392;;28.559;35.8666;;;;42.9373;31.9536;;;;33.3491;30.3002;;37.8461
Q9NW68;BSDC1_HUMAN;BSDC1;BSD domain-containing protein 1;;;;;;;;;;;34.5228;24.0136;53.0576;;;35.2543;36.5163;40.5075;;
Q9NW75;GPTC2_HUMAN;GPATCH2;G patch domain-containing protein 2;130.2439;86.5757;68.8511;76.3977;141.5139;;61.3481;85.1606;;123.1445;;69.5072;103.9079;75.9729;129.1084;106.8584;62.9401;116.2743;;99.4647
Q9NW82;WDR70_HUMAN;WDR70;WD repeat-containing protein 70;;57.3381;37.9691;;;;47.9639;45.9005;;;112.2635;102.8253;49.1671;;;161.1092;91.5423;62.5896;;47.6974
Q9NW97;TMM51_HUMAN;TMEM51;Transmembrane protein 51;;;43.5615;;;;;;;;;16.7637;;;;;21.2063;39.346;;
Q9NWS0;PIHD1_HUMAN;PIH1D1;PIH1 domain-containing protein 1;;78.346;79.4598;74.9437;129.1885;;66.5063;74.6359;;148.6188;67.2659;58.5446;61.2097;;120.29;51.972;77.1548;60.0111;112.0745;109.2988
Q9NWT6;HIF1N_HUMAN;HIF1AN;Hypoxia-inducible factor 1-alpha inhibitor;;;24.7993;20.9811;;;11.5523;28.2872;;;;5.8174;;;;;10.4767;;;
Q9NWV8;BABA1_HUMAN;BABAM1;BRISC and BRCA1-A complex member 1;;;33.8823;44.5837;;;38.9302;40.9649;;;56.7218;59.595;44.5287;49.3791;;54.1754;58.4095;40.7273;89.0253;
Q9NWX6;THG1_HUMAN;THG1L;Probable tRNA(His) guanylyltransferase;;;47.9442;;;;30.7484;56.056;;;;18.6422;;;;;17.3381;17.47;;
Q9NWY4;HPF1_HUMAN;HPF1;Histone PARylation factor 1;;;14.1012;;;;;24.558;;;55.1686;68.913;;;;44.6953;40.3781;27.8093;;
Q9NX02;NALP2_HUMAN;NLRP2;NACHT, LRR and PYD domains-containing protein 2;;107.987;69.3647;;;;47.546;;;;124.1651;141.131;74.7044;;;195.433;150.3644;65.1805;;68.9274
Q9NX08;COMD8_HUMAN;COMMD8;COMM domain-containing protein 8;;;;;;;;;;;17.1257;15.3828;;;;30.3705;17.5389;;;
Q9NX18;SDHF2_HUMAN;SDHAF2;Succinate dehydrogenase assembly factor 2, mitochondrial;;60.6874;66.1954;52.8794;;;;91.1631;;;138.0039;198.5885;156.6715;;145.4246;184.1884;159.5278;154.6898;;82.246
Q9NX46;ADPRS_HUMAN;ADPRS;ADP-ribosylhydrolase ARH3;144.7645;88.0859;43.3407;;;;35.3547;48.7361;;;67.4869;73.5347;60.2554;41.1862;46.8835;94.1192;53.93;46.8131;;
Q9NX74;DUS2L_HUMAN;DUS2;tRNA-dihydrouridine(20) synthase [NAD(P)+]-like;;33.7554;23.3526;;;;;33.6423;;;52.7065;67.8429;41.5572;;37.9643;89.8368;59.2994;41.303;;
Q9NXE4;NSMA3_HUMAN;SMPD4;Sphingomyelin phosphodiesterase 4;;20.0191;;14.9095;;;;;;;33.349;21.4194;23.5291;;;;17.3388;21.3534;;
Q9NXF7;DCA16_HUMAN;DCAF16;DDB1- and CUL4-associated factor 16;;67.6035;36.5182;;;;30.6435;;;;151.8346;107.5927;73.574;;80.5266;142.1505;82.5618;76.8173;;
Q9NXG2;THUM1_HUMAN;THUMPD1;THUMP domain-containing protein 1;;;2.0763;;;;;3.9794;;;;;;;;;4.7044;;;
Q9NXG6;P4HTM_HUMAN;P4HTM;Transmembrane prolyl 4-hydroxylase;;56.6637;25.3407;;;;37.6571;34.7165;;;35.0462;41.8554;31.6458;;;60.871;31.3729;24.6566;;
Q9NXH8;TOR4A_HUMAN;TOR4A;Torsin-4A;104.5207;114.2322;90.9386;114.4808;115.723;;100.2601;99.0971;;73.9367;162.918;119.0937;91.6635;40.5437;74.5824;199.8217;90.6387;124.1568;;69.4951
Q9NXN4;GDAP2_HUMAN;GDAP2;Ganglioside-induced differentiation-associated protein 2;;26.5705;20.4326;;;;35.3705;12.0281;;;58.6128;49.8416;41.8209;;34.0937;89.2811;44.9473;30.6767;;
Q9NXR1;NDE1_HUMAN;NDE1;Nuclear distribution protein nudE homolog 1;;;;;;;;;;;48.1588;26.6861;;;;58.8109;24.0401;;;
Q9NXR7;BABA2_HUMAN;BABAM2;BRISC and BRCA1-A complex member 2;;38.8335;23.2629;19.4991;;;22.1024;33.7417;;;53.5703;69.5694;37.129;;;91.2144;58.6026;38.4046;;
Q9NXS2;QPCTL_HUMAN;QPCTL;Glutaminyl-peptide cyclotransferase-like protein;98.1689;67.3613;78.5192;99.9748;;;68.0949;56.9257;;72.9438;146.1766;144.8331;89.5286;;142.7161;163.8108;131.3842;146.1494;87.3531;
Q9NXV6;CARF_HUMAN;CDKN2AIP;CDKN2A-interacting protein;;79.464;77.6829;41.542;;;32.3473;47.4088;;;75.0868;76.3307;56.5912;;;106.2294;58.9562;52.4455;;607.9808
Q9NXW9;ALKB4_HUMAN;ALKBH4;Alpha-ketoglutarate-dependent dioxygenase alkB homolog 4;;54.2898;;37.1544;;;;;;;79.5588;88.8639;84.8478;;128.3881;87.4256;88.6496;74.8985;64.3786;61.5505
Q9NXX6;NSE4A_HUMAN;NSMCE4A;Non-structural maintenance of chromosomes element 4 homolog A;;29.611;48.3128;;;;55.2495;39.306;;;84.9707;95.957;56.497;98.0347;80.3181;109.3939;96.4347;43.9396;92.4865;64.392
Q9NY33;DPP3_HUMAN;DPP3;Dipeptidyl peptidase 3;;23.9839;31.5537;;;;32.8272;;;;43.5171;42.7374;66.2813;33.461;;;55.8291;20.6775;;
